#{"t_start": 1661381832.9951506, "env_id": "ofp-v1"}
r,l,t
-1,1,0.135298
-1,1,0.143295
-1,1,0.1453
-1,1,0.150295
-1,1,0.154294
-1,1,0.161295
-1,1,0.166294
-1,1,0.169295
-1,1,0.176294
-1,1,0.180295
-1,1,0.183294
-1,1,0.192294
-1,1,0.196297
-1,1,0.201295
-1,1,0.207295
-1,1,0.211294
-1,1,0.218295
-1,1,0.224299
-1,1,0.229295
-1,1,0.232294
-1,1,0.235302
-1,1,0.239295
-1,1,0.241294
-1,1,0.246294
-1,1,0.252294
-1,1,0.260294
-1,1,0.274294
-1,1,0.277294
-1,1,0.289295
-1,1,0.291295
-1,1,0.294743
-1,1,0.310371
-1,1,0.310371
-1,1,0.310371
-1,1,0.310371
-1,1,0.310371
-1,1,0.325993
-1,1,0.325993
-1,1,0.325993
-1,1,0.325993
-1,1,0.325993
-1,1,0.325993
-1,1,0.341618
-1,1,0.341618
-1,1,0.357242
-1,1,0.357242
-1,1,0.357242
-1,1,0.357242
-1,1,0.372868
-1,1,0.372868
-1,1,0.372868
-1,1,0.372868
-1,1,0.388492
-1,1,0.388492
-1,1,0.404118
-1,1,0.404118
-1,1,0.404118
-1,1,0.404118
-1,1,0.404118
-1,1,0.419743
-1,1,0.419743
-1,1,0.419743
-1,1,0.419743
-1,1,0.435366
-1,1,0.435366
-1,1,0.435366
-1,1,0.435366
-1,1,0.450992
-1,1,0.450992
-1,1,0.450992
-1,1,0.466617
-1,1,0.466617
-1,1,0.466617
-1,1,0.466617
-1,1,0.482242
-1,1,0.482242
-1,1,0.497869
-1,1,0.497869
-1,1,0.497869
-1,1,0.513493
-1,1,0.513493
-1,1,0.513493
-1,1,0.529118
-1,1,0.529118
-1,1,0.529118
-1,1,0.529118
-1,1,0.544741
-1,1,0.544741
-1,1,0.544741
-1,1,0.544741
-1,1,0.544741
-1,1,0.560367
-1,1,0.560367
-1,1,0.560367
-1,1,0.575993
-1,1,0.575993
-1,1,0.575993
-1,1,0.575993
-1,1,0.591619
-1,1,0.591619
-1,1,0.60744
